N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
229,Sterna hirundo,Obična čigra,,galebovi (Laridae),obicna_cigra,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Elegantna ptica račvastog repa i gracioznog leta, obično nad vodom, u koju se obrušavaju u poteri za ribom. Stanovnik je nizija i dolina reka u Srbiji, gde se drži blizine vode. Gnezdi se kolonijalno na peščanim i drugim ostrvcima na rekama, jezerima, taložnicima, ali i starim baržama. Zimu provodi u Africi.",309,31-35,77-98,90-150,riba,Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,DA
194,Phoenicurus phoenicurus,Obična crvenrepka,,muharice (Muscicapidae),obicna_crvenrepka_m; obicna_crvenrepka_z,obicna_crvenrepka_z; obicna_crvenrepka_m,Ptice pevacice,sume; mesovita stanista; naselja,narandzasta; crna; siva; bela; crvena,braon; siva; bez,"Naseljava otvorene listopadne i mešovite šume, a veoma česta je u voćnjacima, parkovima i zelenim površinama u seoskim i gradskim područjima. Gnezda smešta u prirodnim dupljama, ali i ispod krovova ili u kutije za gnežđenje. Za razliku od crne crvenorepke, grudi i stomak odraslog mužjaka su riđi, na čelu nose upečatljivu belu prugu. U letu je upadljiva crna pruga duž sredine repa. Zimu provodi u Africi.",406,"13-15,5",20-24,11-19,"insekti, paukovi, gliste, bobice ",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
236,Sylvia communis,Obična grmuša,,grmuše (Sylviidae),obicna_grmusa,,Ptice pevacice,sikare i zbunjaci; njive; mesovita stanista,bez; braon; siva; bela,,"Široko rasprostranjena grmuša u Srbiji na različitim otvorenim staništima sa žbunjem. I jedan jedini žbun u poljoprivrednoj ""pustinji"" može biti teritorija mužjaka. Najbolji način za raspoznavanje je upravo njihova pesma. Zimuje u podsaharskoj Africi.",251,14,18-23,12-18,"insekti, bobice, voće",Gnezdarica (oko 100 hiljada parova).,Redovna i na seobi.,NE
87,Cuculus canorus,Obična kukavica,,kukavice (Cuculidae),obicna_kukavica,,Ptice pevacice; Golubolike ptice,sume; sikare i zbunjaci; mesovita stanista; naselja; vodena stanista,siva; bela,,"U narodu poznata ptica zbog svog oglašavanja. Jedina gnezdarica kod nas koja se gnezdi podmetanjem svojih jaja drugim pticama, a posebno crvendaćima, trstenjacima i zebama. Prisutna od aprila do septembra. Naseljava sve tipove staništa. Preko naše zemlje sele se i ptice iz zapadne Evrope.",289,32-34,55-65,105-130,insekti,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
222,Saxicola rubetra,Obična travarka,,muharice (Muscicapidae),obicna_travarka_m; obicna_travarka_z,obicna_travarka_z; obicna_travarka_m,Ptice pevacice,travnjaci; mesovita stanista,crna; braon; narandzasta; bela,braon; narandzasta; bela; crna,"Po izgledu i ponašanju slična crnoglavoj travarci. Gnezdarica livada, pašnjaka i drugih travnatih staništa, uglavnom u brdima i planinama. Odrasle ptice prepoznajemo po beloj obrvi. Na seobi se sreće širom zemlje.",213,"12,5",21-24,16-24,"insekti, semenje",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
147,Locustella luscinioides,Obični cvrčić,,grmuše (Sylviidae),obicni_cvrcic,,Ptice pevacice,vodena stanista,braon; bez; siva,,"Sreće se u priobalju ravničarskih reka, bara i močvara, u pojasevima visoke trske gde se i gnezdi. Teško je uočljiv i uglavnom ćete ga prepoznati po bučnom oglašavanju koje asocira na cvrčke. Ptica je relativno ujednačeno braon obojena, sa beličastim vratom i trbuhom i dugim podrepkom. ",287,14-15,15-20,"15,5-16,5",insekti,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
144,Larus ridibundus,Obični galeb,,galebovi (Laridae),obicni_galeb,,Galebovi i cigre,njive; naselja; vodena stanista,crna; siva; bela,,"Najčešća i najbrojnija vrsta iz porodice galebova u Srbiji. Kolonijalna gnezdarica obala jezera, močvara i velikih ravničarskih reka. Gnezda smešta na tlu, među gustim rastinjem. Redovno se sreće na sveže uzoranim njivama u potrazi za hranom, kao i u naseljima i na deponijama, gde se može okupljati u velikom broju. Prepoznatljivi su po tamnobraon glavi odraslih ptica tokom leta, dok je zimi bela sa po dve tamne mrlje iza očiju. Veoma su glasni, naročito u većim grupama i tokom ishrane. ",491,34-37,100-110,200-400,"crvi, gliste, insekti, riba, lešine, smeće",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
252,Turdus merula,Obični kos,,drozdovi (Turdidae),obicni_kos_m; obicni_kos_z,obicni_kos_z; obicni_kos_m,Ptice pevacice; Vranolike ptice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna,braon,"Česti su susreti sa mužjacima kosa u brdsko-planinskim šumama, bila to melanholična pesma ili crna silueta i žut kljun. Ženke su nešto neupadljivije. Kosovi borave blizu tla, u spratu žbunja i nižeg drveća, gde se i gnezde. Prisutni su tokom cele godine u Srbiji.",263,24-25,34-38,80-100,"insekti, crvi, bobice",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
195,Phylloscopus collybita,Obični zviždak,,grmuše (Sylviidae),obicni_zvizdak,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,siva; zuta; zelena,,"Najčešći i najbučniji zviždak u Srbiji. Naseljava pre svega brdsko-planinske šume i njihovu okolinu. Prisutan u periodu mart-oktobar. ""Čif-čaf"" je tipična pesma koju možete čuti. Gnezdi se na tlu praveći loptasto gnezdo od trave. ",230,10-11,15-21,6-10,"insekti, paukovi",Gnezdarica (preko 100 hiljada parova).,"Redovna na seobi, a mali broj i prezimi.",NE
30,Clanga pomarina,Orao kliktaš,,orlovi i jastrebovi (Accipitridae),orao_kliktas_1; orao_kliktas_2,,Dnevne grabljivice,sume; travnjaci; njive; mesovita stanista; vodena stanista,crna; braon; bela,,"Ugrožena vrsta ptice u Srbiji. Do 20-ak parova se gnezdi u Srbiji u dva odvojena područja - brdskom, i ravničarskom. Kod nas se sreće od marta do oktobra. Gnezdi se na rubovima većih šumskih površina, po pravilu u blizini otvorenih polja, livada i parloga na kojima se hrani sitnim životinjama. Gnezda gradi od svežeg granja visoko u krošnji drveta. Tipično odgaje samo jednog mladunca.",386,55-67,"1,5-1,7 m",1000-2200,sitniji sisari,Gnezdarica (manje od 100 parova).,Redovan i na seobi.,DA
188,Pernis apivorus,Osičar,,orlovi i jastrebovi (Accipitridae),osicar,,Dnevne grabljivice,sume; mesovita stanista,bela; braon; crna,,"Naseljava otvorene šume ispresecane proplancima i livadama. Gnezda smešta na drveću. Izgledom dosta podseća na mišara, ali je prepoznatljiv po crnim prugama u repu i krilima. Osnovna boja tela može varirati od bele do potpune crne. Odrasli mužjaci su upečatljivi i po sivoj glavi. Selica je i zimu provodi u tropskoj Africi.",324,52-59,113-135,600-1100,larve pčela i osica,Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
128,Haematopus ostralegus,Ostrigar,,ostrigari (Haematopodidae),ostrigar,,Sljukarice i barske koke,vodena stanista,crna; bela,,"Izuzetno redak gost u Srbiji tokom selidbenih pomeranja. Upečatljiv je po relativno dugom narandžastocrvenom kljunu, belom trbuhu i leđima a crnoj glavi i krilima, duž kojih ima bele pruge. Sreće se u priobalnim muljevitim pojasevima većih akumulacija i reka. ",260,40-45,80-86,430-650,"gliste, crvi, školjke",Ne gnezdi se u Srbiji.,Posmatran na seobi i lutanju.,NE
47,Bucephala clangula,Patka dupljašica,,plovke (Anatidae),patka_dupljasica_m; patka_dupljasica_z,patka_dupljasica_z; patka_dupljasica_m,Patkolike ptice,vodena stanista,crna; zelena; bela,braon; siva; bela,"Mala okruglasta patka koja redovno zimuje u našim krajevima. Retka je na manjim i stajaćim vodama, a najbrojnija na donjem toku Dunava. U Srbiji zimuje nekoliko hiljada jedinki. Gnezdi se u rupama u drveću, po čemu je dobila naziv. Brz je letač. Plašljiva je vrsta.",265,42-50,65-80,650-1200,"pkoljke, larve insekata, sitnija riba, rastinje",Ne gnezdi se u Srbiji.,"Redovna na zimovanju, retka na seobi.",DA
40,Aythya nyroca,Patka njorka,,plovke (Anatidae),patka_njorka_m; patka_njorka_z,,Patkolike ptice,vodena stanista,crna; braon; bela,,"Elegatna patka jarko kestenjaste boje. U letu se prepoznaje po tipičnim belinama koje se pružaju duž celih krila. Mužjak i ženka su sličnog izgleda. Naseljava sve vrste vodenih staništa, a posebno brojna na stajaćim vodama sa razvijenom vegetacijom. Gnezdi se na tlu u gustoj rastinju u blizini vode. Često je na meti krivolovaca.",330,38-42,63-67,470-730,vodeno rastinje i beskičmenjaci,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
156,Merops apiaster,Pčelarica,x,pčelarice (Meropidae),pcelarica,,Ptice pevacice,"mesovita stanista; kamenjari, litice i odseci; vodena stanista",braon; zelena; zuta; plava; crna,,"Naša najšarenija ptica, jedinstvenih boja, dugog povijenog kljuna i melodičnog oglašavanja. Kolonijalna gnezdarica koja gnezda ukopava u lesnim odsecima i obalama reka, ali i starim kopovima šljunka i peska. Specijalista je za hvatanje insekata u letu, poput vilinskih konjica, bumbara i pčela.",294,25-29,36-40,44-78,insekti,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
238,Sylvia nisoria,Pirgasta grmuša,,grmuše (Sylviidae),pirgasta_grmusa,,Ptice pevacice,sikare i zbunjaci; mesovita stanista,siva; bela,,"Naseljava guste žbunjake širom zemlje, gde se i gnezdi. Po bojama i prugastom trbuhu nalik je kukavici, od koje je upola manja, a pruge joj prekrivaju i grlo. Oglašava se slično običnoj grmuši. Zimuje u podsaharskoj Africi.",223,"15,5",19-25,21-29,"insekti, voće",Gnezdarica (oko 10 hiljada parova).,Redovna i na seobi.,NE
180,Parus montanus,Planinska siva senica,,senice (Paridae),planinska_siva_senica,,Ptice pevacice,sume; sikare i zbunjaci,crna; siva; bez; bela,,"Naseljava visokoplaninske četinarske, mešovite, a ređe i bukove šume. Malobrojna je gnezdarica Srbije i gnezda iskopava i smešta u trulim stablima. Prepoznatljiva je po crnoj uspravnoj pruzi na vratu, crnoj kapi na glavi koja se pruža nazad duž celog vrata i belim obrazima. Od veoma slična sive senice razlikuje se po široj crnoj pruzi na vratu i nešto dužem kljunu.",367,12-13,17-19,8-14,"insekti, semenje, bobice",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
24,Anthus spinoletta,Planinska trepteljka,,pliske (Motacillidae),planinska_trepteljka,,Ptice pevacice,"travnjaci; kamenjari, litice i odseci; vodena stanista",crna; siva; braon; bez; bela,,Retka ptica pevačica planinskih goleti i kamenjara sa oskudnom travom. Tokom perioda razmnožavanja izvodi specifičnu pesmu kao i svadbeni let po kome se lako i prepoznaje. Naseljava samo najviše planine centralne Srbije. Gnezdi se na tlu pod busenom trave. Van perioda gnežđenja spušta se u niže predele i po pravilu boravi u blizini vodenih staništa.,351,17,22-28,20-36,insekti,Gnezdarica (do 10 hiljada parova).,"Redovna na seobi, retka na zimovanju.",NE
91,Dendrocopos leucotos,Planinski detlić,x,detlići (Picidae),planinski_detlic,,Detlici,sume,crna; crvena; bela,,"Uz sivu žunu, najređa vrsta detlića u Evropi. Naseljava planinska, ređe brdska područja centralne Srbije. Tipično se sreće u stoletnim, mahom bukovim šumama sa mnogo suvih stojećih stabala. Prepoznatljiv je po bogato ispruganim bokovima i krilima, dok je na glavi srazmerno dugačak crn kljun. Gnezdi se u rupi u suvom drvetu koju sam dubi. Gneženje počinje krajem marta.",370,14-15,25-27,100-110,insekti,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,DA
211,Prunella collaris,Planinski popić,x,popići (Prunellidae),planinski_popic,,Ptice pevacice,"kamenjari, litice i odseci",crna; braon; siva; bela,,"Naseljava samo mali broj kamenitih i stenovitih vrhova visokih planina u Srbiji, dok se zimi može sresti i niže na sličnim mestima u pobrđu. Od običnog popića ga teško razlikujemo izdaleka, uglavnom po tamnom pojasu krila, a izbliza i po riđim bokovima i prugastom grlu.",270,15-19,30-33,36-40,"insekti, semenje",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,DA
176,Parus caeruleus,Plava senica,x,senice (Paridae),plava_senica,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; zuta; zelena; plava; bela,,"Česta i brojna senica u listopadnim i mešovitim šumama, zabranima, voćnjacima, parkovima i zelenim zonama naselja i gradova. Prepoznatljiva po jarkožutom stomaku i grudima, svetloplavim krilima, repu i kapi, kao i tamnoplavoj ogrlici. Gnezdi se u prirodnim dupljama, a rado prihvata i kutije za gnežđenje. Često se može videti kako visi naglavačke sa grana dok se hrani, a zimi posećuje i hranilice.",399,"10,5-12",18,11,"insekti, gusenice, semenke",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
13,Spatula clypeata,Plovka kašikara,,plovke (Anatidae),plovka_kasikara_m; plovka_kasikara_z,plovka_kasikara_z; plovka_kasikara_m,Patkolike ptice,vodena stanista,crna; zelena; braon; plava; bela,bez; braon; zelena; crna; bela,Krupna plovka karakterističnog kašikastog kljuna koji koriste za filtriranje vode i sedimenta. Retka gnezdarica Srbije. Mužjak je šareniji i upadljivi od ženke. Najčešće se viđa pojedinačno ili u manjim jatima tokom prolećne i jesenje seobe. Gnezdi se od aprila do juna nedaleko od vode u visokoj travi ili šašu.,312,43-56,70-85,410-1100,"vodeni beskičmenjaci, semenje, rastinje",Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
74,Circus cyaneus,Poljska eja,,orlovi i jastrebovi (Accipitridae),poljska_eja_m; poljska_eja_z,poljska_eja_z; poljska_eja_m,Dnevne grabljivice,travnjaci; njive; mesovita stanista,crna; siva; bela,braon; crna; bez; bela,"Zimski posetilac naših krajeva. Vrlo je slična eji livadarki, koja u zimskom periodu odsustvuje. Za razlikovanje ove dve vrste, kao i još ređe, stepske eje, potrebno je dosta iskustva. Viđa se obično u niziji i dolinama reka kako u lelujavom letu pretražuje okolinu u potrazi za plenom.",286,44-52,100-120,300-600,manje ptice i sisari,Ne gnezdi se u Srbiji.,Redovna na zimovanju i seobi.,DA
9,Alauda arvensis,Poljska ševa,,ševe (Alaudidae),poljska_seva,,Ptice pevacice,travnjaci; njive,crna; bez; braon; bela,,"Vesnik poljoprivrednih radova u rano proleće. Gotovo beskrajnu pesmu izvodi dok kruži visoko na nebu. Česta vrsta koja naseljava njive i razne tipove travnatih staništa. Gnezdi se na tlu, najčešće ispod busena trave. Za vreme seobe formira manja jata.",251,18-19,30-36,33-45,"semenje, insekti",Gnezdarica (preko 100 hiljada parova).,"Pristuna tokom cele godine, zimi malobrojna.",NE
184,Passer montanus,Poljski vrabac,,vrapci (Passeridae),poljski_vrabac,,Ptice pevacice,"mesovita stanista; kamenjari, litice i odseci; naselja",crna; siva; braon; bela,,"Brojna i česta gnezdarica Srbije. Nastanjuje otvorene šume i zabrane uz poljoprivredna područja i naselja, kao i parkove i urbane zelene površine. Gnezda smešta u dupljama drveća, otvore na objektima, a redovno i u kutije za gnežđenje. Prepoznatljiv je po kestenjastoj glavi, belim obrazima sa upadljivim, krupnim crnim mrljama i crnoj šari na vratu. Jedina vrsta vrabaca u Evropi kod koje nema razlike u izgledu između polova. Zimi mogu obrazovati jata i od nekoliko hiljada ptica, uglavnom u blizini njiva.",508,"12,5-14",20-22,19-25,"insekti, semenje",Gnezdarica (oko milion parova).,Prisutna tokom cele godine.,NE
7,Actitis hypoleucos,Polojka,,šljukarice (Scolopacidae),polojka,,Sljukarice i barske koke,vodena stanista,crna; siva; bela; braon,,"Šljukarica koja se sreće se pojedinačno ili u manjim jatima. Prepoznaje se po kraćim zelenim nogama, beloj vodoravnoj pruzi duž krila u letu i smeđkastoj portiklici na grudima. Sreće se u plitkim vodama i priobalju reka, jezera i bara. Gnezdi se na šljunkovitom ili peskovitom tlu u priobalju većih reka.",304,19-21,32-35,40-60,"insekti, crvi, mekušci",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,DA
161,Motacilla cinerea,Potočna pliska,Gorska pliska,pliske (Motacillidae),potocna_pliska,,Ptice pevacice,vodena stanista,crna; zuta; siva; bela,,"Sreće se uglavnom duž brzih i plitkih vodotoka kamenitog korita, u brdsko-planinskim područjima. Veoma je upečatljiva zbog jarkožutog podrepka. Kod odraslih mužjaka su i grudi jarkožute, vrat crn, a leđa i glava sivi, sa izraženom belom očnom šarom i ""brkovima"". Kao i ostale pliske ima dugačak rep u odnosu na telo. Krila su crna sa izraženom belom prugom. Oglašavanje je kratko i piskavo i često se oglašava u letu. ",418,18-19,25-27,14-22,insekti,Gnezdarica (oko 10 hiljada parova).,"Redovna na seobi, retka na zimovanju.",NE
86,Crex crex,Prdavac,,barske koke (Rallidae),prdavac,,Sljukarice i barske koke; Kokosi i droplje,travnjaci; mesovita stanista,crna; braon; siva,,"Bučna ptica karakterističnog kreketavog oglašavanja. Za stanište odabira vlažne livade sa visokom, gustom travom. Naseljava sve nadmorske visine, a najčešći je u brdsko-planinskim predelima. Hrani se i gnezdi na tlu. Retko se opaža i aktivan je uglavnom noću. Ljubavni zov mužjaka može se slušati od početka maja do kraja jula. Zimu provodi u Africi.",350,27-30,46-53,120-200,insekti i semenje,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
85,Coturnix coturnix,Prepelica,x,fazani (Phasianidae),prepelica,,Kokosi i droplje,travnjaci; njive; mesovita stanista,siva; bela; crna; bez; braon,,"Kratkih nogu i zdepastog tela, prepelica predstavlja našu najmanju divlju vrstu kokoši. Veličine je pesnice odraslog muškarca. Naseljava livade i njive. Osim u periodu seobe, retko leti i većinu vremena provodi na tlu gde se i hrani i razmnožava. Ugrožava je masovan krivolov tokom jesenje seobe.",296,16-18,32-35,75-135,semenje i insekti,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,DA
164,Netta rufina,Prevez,x,plovke (Anatidae),prevez_m; prevez_z,prevez_z; prevez_m,Patkolike ptice,vodena stanista,crna; narandzasta; siva; bela,braon; bela,"Jedna od najređih pataka u Srbiji, obično na velikim ravničarskim rekama tokom zimskih meseci. Mužjaci su upečatljivo, šareno obojeni i prepoznajemo ih po krupnoj glavi braon boje koja pri vrhu prelazi u jarkonarandžastu, crvenom kljunu, crnom vratu, grudima i trbuhu sa kontrastnim belim bokovima.  ",300,53-57,85-90,900-1400,vodene biljke ,Gnezdarica (manje od 10 parova).,Retka na seobi i zimovanju.,DA
258,Upupa epops,Pupavac,x,pravi pupavci (Upupidae),pupavac,,Ptice pevacice; Golubolike ptice,"travnjaci; mesovita stanista; kamenjari, litice i odseci",narandzasta; crna; bela,,"Šarenilo, velika kresta i zov po kom je dobio ime pupavca čine upečatljivim. Naseljava različite otvorene i mozaične predele, od nizija do brdsko-planinskih krajeva. Tokom seobe u Afriku sreće se u svim krajevima naše zemlje. Gnezdi se u dupljama, ali i rupama u odsecima i ređe, u šupljinama građevina. ",304,26-28,42-46,47-87,insekti. paukovi,Gnezdarica (oko 10 hiljada parova).,Redovna i na seobi.,NE
244,Tichodroma muraria,Puzgavac,x,brgljezi (Sittidae),puzgavac,,Ptice pevacice,"kamenjari, litice i odseci",crna; crvena; siva; bela,,"Tokom poslednje decenije, puzgavac uspešno zatire tragove prisustva na gnežđenju u Srbiji, u nepristupačnim klisurama i kanjonima i zabačenim liticama brdsko-planinskih krajeva. Parovi se zadržavaju na teritorijama gnežđenja koje su međusobno uglavnom udaljene. Tokom seobe i zimovanja sreće se nešto češće, ali uvek pojedinačno, na sličnim mestima i zidinama građevina.",370,"16,5-17",17-19,27-32,insekti I paukovi,Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
203,Plegadis falcinellus,Ražanj,x,ražnjevi (Threskiornithidae),razanj_s; razanj_l,,Capljolike ptice,vodena stanista,braon; crna; zelena,,"Ptica na ivici opstanka u Srbiji i retka u Evropi. Male kolonije opstaju na Obedskoj bari i nekoliko drugih plitkih vodenih površina, obraslih trskom, žbunovima i drvećem. Od kašičara i čaplji slične građe je znatno manji. Jedinstven je po tamnoj prelivajućoj boji perja i zakrivljenom kljunu. ",294,48-66,80-95,350-840,insekti i drugi beskičmenjaci,Gnezdarica (manje od 100 parova).,Sreće se i na seobi.,DA
173,Pandion haliaetus,Ribar,Orao ribar,ribari (Pandionidae),ribar,,Dnevne grabljivice,vodena stanista,bela; braon; crna,,"Redak i malobrojan, ali redovan posetilac Srbije tokom seobe u Afriku, uglavnom na akumulacijama i ribnjacima u nizijskim predelima. Prepoznatljiv je po beloj glavi sa crnom prugom preko oka, kao i braon ogrlici na belim grudima. Krila su duga i spolja crna, dok sa unutrašnje strane imaju tanke pruge. Spektakularan je lovac, poznat po strmom obrušavanju i zaranjanju u vodu prilikom lova.",390,52-60,152-167,1200-2000,riba,Ne gnezdi se u Srbiji.,Redovan na seobi.,NE
158,Milvus milvus,Riđa lunja,Crvena lunja,orlovi i jastrebovi (Accipitridae),ridja_lunja,,Dnevne grabljivice,sume; mesovita stanista,crna; siva; braon,,"Veoma redak gost u Srbiji. Upečatljiva grabljivica srednje veličine, lako prepoznatljiva po duboko usečenom riđem repu, riđim leđima, grudima i stomaku i sivoj glavi. Nekada je bila relativno česta i uobičajena gnezdarica plavnih šuma duž ravničarskih reka, bara, ribnjaka i drugih akumulacija.",294,60-66,175-195,800-1300,"lešine i životinjski ostaci, sitni sisari, gliste",Iščezla gnezdarica Srbije.,Retka na seobi i lutanju.,DA
52,Calidris ferruginea,Riđa sprutka,,šljukarice (Scolopacidae),ridja_sprutka_g; ridja_sprutka_ng,,Sljukarice i barske koke,vodena stanista,crna; braon; siva; bela,,"Elegantna sprutka vidno povijenog kljuna na dole. U negnezdećem ruhu liči pomalo na crnotrbu sprutku, ali je belog nadrepka, dužih nogu i izražene obrve. Gnezdi se u pojasu tundre na krajnjem severu Evroazije. Zimuje u ekvatorijalnom delu Afrike leteći i po 15 000 km u jednom smeru. U Srbiji se viđa pojedinačno, retko i u manjim jatima, u plitkoj vodi i blatu.",362,18-23,38-46,44-117,"puževi, crvi, rakovi",Ne gnezdi se u Srbiji.,Prisutna na seobi.,NE
50,Buteo rufinus,Riđi mišar,,orlovi i jastrebovi (Accipitridae),ridji_misar,,Dnevne grabljivice,"mesovita stanista; kamenjari, litice i odseci",crna; bez; braon; bela,,"Krupna i retka vrsta iz roda mišara. Nastanjuje pre svega istok i jugoistok zemlje gde se gnezdi nekoliko desetina parova. Gnezda smešta na policu litice, ređe na drvo. Gnežđenje počinje u martu izgradnjom novog ili nadogranjom postojećeg gnezda. Riđa boja repa i većine tela, kao i nešto masivnija građa, razlikuju ga od običnog mišara. Povremeno se beleži na seobi i lutanju i u drugim krajevima zemlje.",405,43-62,112-160,590-1760,"sitni sisari, gušteri i dr",Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
37,Aythya ferina,Riđoglava patka,,plovke (Anatidae),ridjoglava_patka_m; ridjoglava_patka_z,ridjoglava_patka_z; ridjoglava_patka_m,Patkolike ptice,vodena stanista,crna; braon; siva,siva; braon; bez,"Sve ređa vrsta patke. Mužjak se značajno razlikuje od ženke. Viđa se na svim vodenim površinama, a posebno na ribnjacima, jezerima i rekama u ravnici. Razmnožava se tokom proleća, a gnezda svija na tlu u gustoj vegetaciji blizu vode. Zimi se često viđa u jatima sa drugim patkama, naročito sa ćubastom.",302,42-49,72-82,470-1250,"vodeno rastinje, trava, puževi, insekti i dr",Gnezdarica (oko hiljadu parova).,Prisutna tokom cele godine.,DA
125,Gavia stellata,Riđogrli morski gnjurac,,norovi (Gaviidae),ridjogrli_morski_gnjurac,,Patkolike ptice,vodena stanista,siva; bela; crna,,"Kao i crnovrati gnjurac, redak je posetilac velikih reka i jezera Srbije tokom zimskih meseci. Tokom zime nema izraženu crvenu prugu na vratu po kojoj je dobio ime, već je jednolično, sivo-belo obojen. Za razliku od svog srodnika, ima nešto kraći i tanji kljun blago zakrivljen na gore. Oblik tela i položaj nogu (pomerene nazad) su posebno prolagođeni plivanju.",362,53-69,106-116,1200-1600,riba,Ne gnezdi se u Srbiji.,Redak na zimovanju.,DA
208,Podiceps grisegena,Riđovrati gnjurac,,gnjurci (Podicipedidae),ridjovrati_gnjurac,,Patkolike ptice,vodena stanista,crna; braon; siva; bela,,"Sporadičan posetilac i gnezdarica Vojvodine. Naseljava različite obrasle stajaće vode, a gnezda skriva u rastinju. Od drugih sličnih i češćih gnjuraca, poput crnovratog, razlikujemo ga po sivim obrazima na crnoj glavi i jarkožutoj osnovi kljuna.",245,40-46,77-85,700-900,"riba, rakovi, vodeni insekti",Gnezdarica (manje od 10 parova).,Sporadična na seobi i zimi.,DA
34,Asio flammeus,Ritska sova,,prave sove (Strigidae),ritska_sova,,Sove,travnjaci; njive; naselja,crna; bez; braon; bela,,"Dugokrila sova kratkih uški aktivna često i preko dana. Retka je i sporadična gnezdarica Srbije. Gnezdi se na tlu u gustom rastinju. Kod nas nešto češća i brojnija u zimskom periodu, kada formira mala zimujuća jata na tlu u travi. Pojedinačni primerci zimuju i sa utinama na drveću unutar naselja. Sreće se najčešće na severu Bačke i Banata.",341,34-42,90-105,260-350,"sitni sisari, poput voluharica",Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
58,Carpodacus erythrinus,Rumenka,,zebe (Fringillidae),rumenka,,Ptice pevacice,sikare i zbunjaci; travnjaci; mesovita stanista,siva; crvena; braon; bela,,"Iako upadljivih boja mužjaka, zabeležena je u Srbiji tek početkom ovog stoleća. Ženke su neuglednijih, sivobraon nijansi. Gnezdi se na svega nekoliko planinskih lokaliteta na jugu zemlje. Naseljava skupine žbunja, vrba, breza i jova uz same reke i njihove obode, kao i proplanke vlažnih listopadnih šuma.",304,"14,5-15",22-26,21-27,"semenje, pupoljci i sitni beskičmenjaci",Gnezdarica (manje od 100 parova).,Sporadična na seobi.,NE
136,Lanius collurio,Rusi svračak,,svračci (Laniidae),rusi_svracak_m; rusi_svracak_z,rusi_svracak_z; rusi_svracak_m,Ptice pevacice,sikare i zbunjaci; mesovita stanista,crna; braon; siva; bez; bela,,"Najčešća vrsta svračaka u Srbiji. Naseljava raznovrsna otvorena, mozaična staništa, obrasla raznim žbunjem. Mužjaci su lako prepoznatljivi po sivoj glavi sa crnom ""maskom"" preko čela i očiju i riđebraon leđima i krilima. Nije plašljiva i lako se može uočiti kako osmatra teritoriju u potrazi za plenom sa vrhova drveća, žbunja, stubova, električnih vodova i sl. Ulovljen plen često nabada na trnje bagrema, kao ostavu. Selica je i zimu provodi u Africi. ",454,16-18,24-27,25-35,insekti,Gnezdarica (oko 100 hiljada parova).,Redovna i na seobi.,NE
186,Pelecanus onocrotalus,Ružičasti nesit,,pelikani (Pelecanidae),ruzicasti_nesit,,Capljolike ptice; Patkolike ptice,vodena stanista,bela; crna,,"Krupna, upečatljiva ptica vodenih staništa, dugih krila i izuzetno dugog i snažnog kljuna sa malom kukom na kraju. Kljun nosi žutu kožnu vreću u kojoj privremeno skladište hranu. Gotovo celo telo je belo izuzev crnih letnih pera krila. Od sličnog kudravog nesita se najlakše razlikuje po žutim nogama i crnim letnim perima krila. U Srbiji se izuzetno retko i slučajno može sresti tokom lutanja van perioda gnežđenja. ",417,140-175,245-295,9000-15000,riba,Ne gnezdi se u Srbiji.,Sreće se na lutanju.,NE
